"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Cisco_38:f1:0e","Cisco_30:1d:00","83629","22616621","0","0","83629","22616621","0.001809000","234.4782","N/A","771641.03"
"All-HSRP-routers_00","Cisco_38:f1:0e","90562","50274580","0","0","90562","50274580","0.000000000","234.4779","N/A","1715286.28"
"Cisco_38:f1:0f","Cisco_30:1d:00","85948","43767611","0","0","85948","43767611","0.002467000","234.4753","N/A","1493295.67"
"All-HSRP-routers_00","Cisco_38:f1:0f","82383","17114389","1","66","82382","17114323","0.001961000","234.4752","N/A","583919.34"
"Cisco_db:64:00","IPv4mcast_02","9112","599716","9112","599716","0","0","0.000236000","234.4681","20462.18","N/A"
"Oracle_24:3f:fd","Cisco_30:1d:00","45828","4943733","0","0","45828","4943733","0.018681000","234.4588","N/A","168685.79"
"All-HSRP-routers_00","Oracle_01:27:f0","67577","48487923","0","0","67577","48487923","0.013045000","234.4539","N/A","1654497.30"
"Oracle_01:27:f0","Cisco_30:1d:00","63569","47744402","0","0","63569","47744402","0.012954000","234.4527","N/A","1629135.53"
"All-HSRP-routers_00","Oracle_24:3f:fd","27024","24814607","0","0","27024","24814607","0.039146000","234.4386","N/A","846775.46"
"All-HSRP-routers_00","Oracle_24:40:1b","53236","61734806","0","0","53236","61734806","0.019122000","234.4344","N/A","2106680.62"
"All-HSRP-routers_00","IPv4mcast_02","8278","546348","8278","546348","0","0","0.017291000","234.4285","18644.42","N/A"
"Oracle_1e:e8:53","Cisco_30:1d:00","19146","3411254","0","0","19146","3411254","0.012384000","234.4272","N/A","116411.52"
"All-HSRP-routers_00","Oracle_1e:e8:53","30424","38625071","4","256","30420","38624815","0.012589000","234.4267","8.74","1318102.66"
"Ibm_53:a0:10","Cisco_30:1d:00","16699","7798148","0","0","16699","7798148","0.013580000","234.3570","N/A","266197.18"
"All-HSRP-routers_00","Ibm_53:a0:10","20768","16746856","0","0","20768","16746856","0.013152000","234.3567","N/A","571670.68"
"Cisco_67:93:20","Broadcast","856","54784","856","54784","0","0","0.096498000","234.3468","1870.19","N/A"
"Oracle_24:40:1b","Cisco_30:1d:00","4622","1202304","0","0","4622","1202304","0.062053000","234.3421","N/A","41044.41"
"Dell_ab:7f:81","Broadcast","480","47662","480","47662","0","0","0.043145000","234.3188","1627.25","N/A"
"Oracle_ad:41:2b","IPv4mcast_01","1264","80896","1264","80896","0","0","0.103753000","234.3156","2761.95","N/A"
"Cisco_63:ec:b7","PVST+","17632","1198976","17632","1198976","0","0","0.135391000","234.2992","40938.28","N/A"
