"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.106.176.15","40923","41.177.241.46","443","4698","592698","1721","279642","2977","313056","0.019084000","234.4461","9542.22","10682.40"
"244.3.176.118","3389","244.3.153.55","2637","2351","254190","1009","108440","1342","145750","0.019254000","234.4460","3700.30","4973.43"
"41.177.3.224","9504","41.177.143.72","1744","1949","1856026","1122","1436618","827","419408","0.015751000","234.3549","49040.77","14317.02"
"41.177.3.224","43836","41.177.117.184","1607","2630","1250479","1341","663090","1289","587389","0.363297000","233.9071","22678.75","20089.65"
"68.157.168.194","47365","41.177.26.91","80","7078","6313548","2972","256804","4106","6056744","0.012384000","233.8482","8785.32","207202.59"
"41.177.244.185","51175","244.3.210.254","5900","1113","250602","544","38080","569","212522","0.470995000","233.4103","1305.17","7284.06"
"253.213.108.81","1729","253.37.253.43","23","52","53430","0","0","52","53430","0.621005000","233.3997","N/A","1831.37"
"41.177.244.177","56182","244.3.210.254","5900","1325","295173","649","45430","676","249743","0.460614000","233.3884","1557.23","8560.60"
"244.3.93.198","4112","41.177.241.108","3389","443","39132","221","14144","222","24988","0.305426000","233.3106","484.98","856.81"
"41.177.241.254","3389","244.3.93.198","1904","484","34682","242","18802","242","15880","0.663992000","233.1708","645.09","544.84"
"68.33.164.161","7746","244.3.160.239","80","2319","2051481","856","59920","1463","1991561","0.707266000","233.0317","2057.06","68370.48"
"244.3.160.239","60101","176.41.89.210","80","2300","2027573","837","53568","1463","1974005","0.706013000","233.0057","1839.20","67775.33"
"41.177.31.94","49240","244.3.47.39","3260","234","23868","156","14664","78","9204","0.269200000","231.2613","507.27","318.39"
"244.3.64.188","49647","41.177.241.46","443","48","3720","24","1968","24","1752","2.423047000","231.0318","68.15","60.67"
"41.177.3.224","47468","41.177.117.184","1610","205","79718","126","38941","79","40777","0.816327000","230.3041","1352.68","1416.46"
"41.177.3.224","51349","41.177.117.184","1618","206","79825","126","38933","80","40892","0.013152000","230.2673","1352.62","1420.68"
"41.177.3.224","51334","41.177.117.184","1618","206","79829","126","38941","80","40888","0.025954000","230.2545","1352.97","1420.62"
"41.177.3.203","58386","41.177.3.224","1791","161","57267","102","27521","59","29746","3.718803000","230.2520","956.20","1033.51"
"41.177.3.224","50412","41.177.117.184","1613","157","55314","102","26713","55","28601","3.388644000","230.2517","928.13","993.73"
"41.177.3.224","51236","41.177.117.184","1613","196","75384","122","37102","74","38282","0.454080000","230.2463","1289.12","1330.12"
"41.177.3.224","50391","41.177.117.184","1610","205","79714","126","38933","79","40781","1.520654000","230.2297","1352.84","1417.05"
"41.177.3.224","50371","41.177.117.184","1605","157","55361","102","26713","55","28648","1.318037000","230.2223","928.25","995.49"
"41.177.3.224","51281","41.177.117.184","1605","203","78934","125","38558","78","40376","0.073228000","230.2072","1339.94","1403.12"
"41.177.3.203","58381","41.177.3.224","1791","201","78371","122","38505","79","39866","3.556787000","230.2040","1338.12","1385.41"
"41.177.3.224","51186","41.177.117.184","1606","203","78868","125","38546","78","40322","0.313034000","230.1774","1339.70","1401.42"
"41.177.3.224","51146","41.177.117.184","1606","205","79686","126","38921","79","40765","0.766625000","230.1438","1352.93","1417.03"
"41.177.3.224","49020","41.177.117.184","1606","157","55314","102","26713","55","28601","1.620516000","230.1299","928.62","994.26"
"41.177.3.224","51211","41.177.117.184","1607","205","79722","126","38941","79","40781","0.991600000","230.1288","1353.71","1417.68"
"41.177.3.224","50327","41.177.117.184","1618","158","55425","102","26713","56","28712","1.840434000","230.1199","928.66","998.16"
"41.177.3.224","50382","41.177.117.184","1607","157","55314","102","26713","55","28601","0.796332000","230.1141","928.69","994.32"
"41.106.176.15","29201","41.177.241.46","443","80","8180","40","5218","40","2962","0.037766000","230.0041","181.49","103.02"
"41.177.3.224","51255","41.177.117.184","1605","203","78938","125","38566","78","40372","0.073223000","229.9972","1341.44","1404.26"
"41.106.176.15","41343","41.177.241.46","443","2996","789426","1199","139851","1797","649575","4.521062000","229.9517","4865.40","22598.65"
"41.177.117.203","1632","244.3.153.177","1554","138","19734","46","6394","92","13340","1.716578000","229.6908","222.70","464.62"
"244.3.160.248","46938","41.177.26.193","80","1021","840320","387","24768","634","815552","2.316278000","229.5732","863.10","28419.76"
"244.3.160.248","46646","41.177.26.193","80","841","726746","313","20032","528","706714","4.236257000","229.1996","699.20","24667.20"
"122.244.155.71","35022","41.177.98.127","210","250","107862","136","13192","114","94670","0.092827000","228.4511","461.96","3315.20"
"41.177.3.224","39054","41.177.117.184","1606","559","309391","284","179083","275","130308","2.306721000","227.9737","6284.34","4572.74"
"244.3.153.13","1485","41.177.202.249","22","225","22806","134","11980","91","10826","0.372072000","227.3356","421.58","380.97"
"41.177.3.224","65162","41.177.117.184","1606","290","84022","154","43474","136","40548","3.382916000","227.3175","1529.98","1427.01"
"41.177.93.176","1340","244.3.41.84","23","84","31866","45","3726","39","28140","0.504793000","226.7087","131.48","992.99"
"151.77.15.90","1211","41.177.241.46","443","54","4418","27","2406","27","2012","3.327555000","226.4074","85.01","71.09"
"41.177.3.224","51372","41.177.117.184","1618","250","71067","134","37168","116","33899","7.028420000","226.4019","1313.35","1197.83"
"244.3.31.117","58914","41.177.98.220","7000","26","3388","14","1839","12","1549","2.935638000","226.4005","64.98","54.73"
"253.213.108.56","1191","253.37.253.43","23","25","25092","0","0","25","25092","1.183065000","226.3181","N/A","886.96"
"41.177.3.224","40080","41.177.117.184","1610","428","256880","216","148248","212","108632","0.077169000","225.5933","5257.18","3852.31"
"41.177.3.224","58575","41.177.117.184","1605","421","253308","219","145312","202","107996","1.224651000","225.5416","5154.24","3830.64"
"41.177.3.224","51309","41.177.117.184","1605","435","149952","225","67456","210","82496","6.103592000","225.4368","2393.79","2927.51"
"41.177.3.224","51373","41.177.117.184","1618","241","77952","128","40064","113","37888","4.953722000","225.3267","1422.43","1345.18"
"41.177.3.224","51312","41.177.117.184","1605","208","57856","112","30656","96","27200","2.866182000","225.3143","1088.47","965.76"
"41.177.3.224","48741","41.177.117.184","1607","202","78840","124","38502","78","40338","4.561166000","225.2993","1367.14","1432.33"
"41.177.3.224","51307","41.177.117.184","1605","210","58016","112","30656","98","27360","2.889652000","225.2908","1088.58","971.54"
"41.177.3.224","65161","41.177.117.184","1606","208","57696","112","30592","96","27104","0.601967000","225.2785","1086.37","962.51"
"41.177.3.224","40064","41.177.117.184","1610","208","57616","112","30624","96","26992","0.609342000","225.2711","1087.54","958.56"
"41.177.3.224","65238","41.177.117.184","1613","337","126592","176","65952","161","60640","2.493073000","225.2674","2342.18","2153.53"
"41.177.3.224","51374","41.177.117.184","1618","208","57680","112","30624","96","27056","0.630171000","225.2503","1087.64","960.92"
"41.177.3.224","65167","41.177.117.184","1606","209","57840","113","30656","96","27184","0.650767000","225.2297","1088.88","965.56"
"41.177.3.224","65164","41.177.117.184","1606","209","57776","113","30592","96","27184","0.650772000","225.2297","1086.61","965.56"
"41.177.3.224","51306","41.177.117.184","1605","208","59168","112","30656","96","28512","2.950761000","225.2297","1088.88","1012.73"
"41.177.3.224","51313","41.177.117.184","1605","208","57792","112","30592","96","27200","7.161544000","225.2188","1086.66","966.17"
"41.177.3.224","65168","41.177.117.184","1606","240","77920","128","39968","112","37952","0.669245000","225.2112","1419.75","1348.14"
"41.177.3.224","65163","41.177.117.184","1606","208","57956","112","30592","96","27364","0.673827000","225.2067","1086.72","972.05"
"41.177.13.249","1052","244.3.41.84","23","35","17025","20","1407","15","15618","9.043239000","225.1814","49.99","554.86"
"41.177.3.224","40058","41.177.117.184","1610","240","78080","128","40064","112","38016","0.706905000","225.1736","1423.40","1350.64"
"41.177.3.224","38682","41.177.117.184","1607","240","78112","128","40096","112","38016","0.706913000","225.1736","1424.54","1350.64"
"41.177.3.224","40052","41.177.117.184","1610","209","57904","112","30624","97","27280","4.904326000","225.1661","1088.05","969.24"
"41.177.3.224","38681","41.177.117.184","1607","208","57648","112","30656","96","26992","3.859969000","225.1604","1089.21","959.03"
"41.177.3.224","50396","41.177.117.184","1610","154","54436","100","26282","54","28154","4.712698000","225.1477","933.86","1000.37"
"41.177.93.64","1156","244.3.41.84","23","176","86454","88","10559","88","75895","6.795338000","224.6828","375.96","2702.30"
"41.106.176.15","56908","41.177.241.46","443","1403","351021","549","86721","854","264300","9.311269000","223.9749","3097.53","9440.34"
"41.106.180.77","1269","41.177.241.46","443","48","3720","24","1968","24","1752","1.716062000","223.8522","70.33","62.61"
