"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.18.41","1985","210.218.218.164","1985","95","6254","95","6254","0","0","0.000236000","234.1161","213.71","N/A"
"40.193.220.98","8482","41.177.241.46","4500","96559","21913162","48515","10707554","48044","11205608","0.371893000","234.1081","365901.23","382920.85"
"41.177.3.164","1985","210.218.218.164","1985","190","12504","190","12504","0","0","0.048225000","234.1001","427.30","N/A"
"41.177.241.164","1985","210.218.218.164","1985","192","12636","192","12636","0","0","0.336252000","234.0521","431.90","N/A"
"244.3.64.188","49908","41.177.241.46","443","1822","370778","1748","347500","74","23278","0.060078000","234.0024","11880.22","795.82"
"210.218.218.164","1985","244.3.61.68","1985","192","12636","0","0","192","12636","0.176554000","233.9878","N/A","432.02"
"41.177.143.186","1985","210.218.218.164","1985","344","22704","344","22704","0","0","0.353243000","233.7887","776.91","N/A"
"41.177.26.192","1985","210.218.218.164","1985","174","11484","174","11484","0","0","0.017291000","233.7245","393.08","N/A"
"41.177.230.117","514","244.3.153.116","514","982","223969","0","0","982","223969","0.075024000","233.6263","N/A","7669.31"
"77.139.113.224","2348","41.177.241.46","443","224","49280","122","21534","102","27746","0.928159000","233.4865","737.82","950.67"
"41.177.31.186","1985","210.218.218.164","1985","176","11616","176","11616","0","0","0.903762000","233.3820","398.18","N/A"
"41.177.204.209","1985","210.218.218.164","1985","192","12624","192","12624","0","0","0.624225000","233.3482","432.80","N/A"
"210.218.218.164","1985","244.3.251.51","1985","96","6318","0","0","96","6318","0.528232000","233.3281","N/A","216.62"
"145.95.43.164","1985","210.218.218.164","1985","96","6318","96","6318","0","0","0.448280000","233.2480","216.70","N/A"
"41.177.230.192","1985","210.218.218.164","1985","344","22704","344","22704","0","0","1.157242000","233.1767","778.95","N/A"
"41.177.98.192","1985","210.218.218.164","1985","172","11352","172","11352","0","0","0.533362000","233.1445","389.53","N/A"
"41.177.204.64","1985","210.218.218.164","1985","86","5676","86","5676","0","0","1.285248000","233.0965","194.80","N/A"
"41.177.155.41","1985","210.218.218.164","1985","285","18762","285","18762","0","0","1.088242000","233.0602","644.02","N/A"
