"level","parent","Topic / Item","Count","Average","Min val","Max val","Rate (ms)","Percent","Burst rate","Burst start",
0,"","Packet Lengths",989018,493.13,60,1518,4.2179,100%,18.8900,228.830
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",344581,65.21,60,79,1.4696,34.84%,7.8200,66.130
1,"/Packet Lengths","80-159",146804,118.97,80,159,0.6261,14.84%,2.8200,35.105
1,"/Packet Lengths","160-319",163766,208.80,160,319,0.6984,16.56%,2.0700,186.451
1,"/Packet Lengths","320-639",39854,418.92,320,639,0.1700,4.03%,1.4100,126.271
1,"/Packet Lengths","640-1279",77045,1042.18,640,1279,0.3286,7.79%,7.2300,150.986
1,"/Packet Lengths","1280-2559",216968,1459.18,1280,1518,0.9253,21.94%,9.4300,125.762
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
