"level","parent","Topic / Item","Count","Average","Min val","Max val","Rate (ms)","Percent","Burst rate","Burst start",
0,"","Packet Lengths",608158,623.19,64,1518,2.5937,100%,17.0600,228.830
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",197887,65.47,64,79,0.8440,32.54%,5.4600,228.835
1,"/Packet Lengths","80-159",86223,117.42,80,159,0.3677,14.18%,2.2100,227.807
1,"/Packet Lengths","160-319",50744,209.43,160,319,0.2164,8.34%,0.9000,205.721
1,"/Packet Lengths","320-639",27762,430.84,320,639,0.1184,4.56%,1.3200,126.271
1,"/Packet Lengths","640-1279",71448,1039.98,640,1279,0.3047,11.75%,3.5700,150.986
1,"/Packet Lengths","1280-2559",174094,1487.84,1280,1518,0.7425,28.63%,9.3700,228.830
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
