"level","parent","Topic / Item","Count","Average","Min val","Max val","Rate (ms)","Percent","Burst rate","Burst start",
0,"","Packet Lengths",219196,358.27,62,1483,0.9348,100%,6.0000,150.985
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",17885,66.02,62,79,0.0763,8.16%,0.3300,83.649
1,"/Packet Lengths","80-159",46853,121.63,80,159,0.1998,21.37%,1.9500,150.985
1,"/Packet Lengths","160-319",108041,208.67,160,318,0.4608,49.29%,1.6300,168.330
1,"/Packet Lengths","320-639",11180,386.72,321,635,0.0477,5.10%,0.7200,205.100
1,"/Packet Lengths","640-1279",3181,1064.84,642,1275,0.0136,1.45%,3.4800,150.986
1,"/Packet Lengths","1280-2559",32056,1291.37,1291,1483,0.1367,14.62%,1.1800,0.336
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
