frame.number,tcp.analysis.ack_rtt
130466,
130468,0.000797000
131038,0.144404000
131123,
131133,0.000872000
131147,0.002211000
131156,0.002565000
131158,
131160,
131162,
131182,0.002518000
131188,0.003119000
131525,
131530,0.000856000
131544,0.002544000
131546,0.000607000
131559,0.002126000
131561,0.000582000
131577,0.002844000
131579,0.000575000
131611,0.005608000
131620,0.000691000
131632,0.002636000
131634,0.000728000
131648,0.002233000
131653,0.001027000
131674,0.003007000
131686,0.000770000
131727,0.008207000
131728,0.000752000
131739,0.002338000
131740,0.000724000
131760,0.002110000
131763,0.000679000
131771,0.002892000
131772,0.000741000
131923,0.034736000
131934,0.001210000
131946,0.002020000
131949,0.000724000
131983,0.002676000
131991,0.000640000
132011,0.002265000
132013,0.000666000
132039,0.002808000
132047,0.000780000
132065,0.002270000
132070,0.000721000
132092,0.002532000
132098,0.000565000
132122,0.002491000
132127,0.000636000
132141,0.002500000
132144,0.000559000
132152,0.003035000
132156,0.000720000
132182,0.002593000
132187,0.000591000
132196,0.002043000
132198,0.000544000
132234,0.002495000
132236,0.000697000
132253,0.002710000
132255,0.000808000
132272,0.001956000
132275,0.000571000
132282,0.002468000
132284,0.000535000
132291,0.002209000
132298,0.000527000
132320,0.003174000
132321,0.000640000
132329,0.003480000
132331,0.000598000
132361,0.002583000
132364,0.000585000
132378,0.002509000
132382,0.000639000
132398,0.003019000
132401,0.000696000
132406,0.002145000
132407,0.000602000
132442,0.002328000
132450,0.000642000
132466,0.002894000
132474,0.000534000
132490,0.003010000
132495,0.000782000
132511,0.002698000
132516,0.000579000
132525,0.002223000
132528,0.000640000
132537,0.002446000
132539,0.000793000
132549,0.002358000
132551,0.000692000
132556,0.002078000
132558,0.000599000
132569,0.002629000
132575,0.000639000
132580,0.002073000
132586,0.000506000
132922,0.070946000
132925,0.000912000
132930,0.002592000
132933,0.000616000
132941,0.001944000
132942,0.000579000
132945,0.002943000
132948,0.000741000
132953,0.002394000
132954,0.000666000
132963,0.002097000
132964,0.000612000
132985,0.002378000
133000,0.000624000
133017,0.002630000
133019,0.000572000
133022,0.002833000
133023,0.000721000
133045,0.002725000
133048,0.000613000
133059,0.002303000
133062,0.000579000
133072,0.002494000
133076,0.000684000
133090,0.002281000
133091,0.000710000
133110,0.002599000
133116,0.000571000
133123,0.002509000
133125,0.000638000
133131,0.002119000
133134,0.000599000
133142,0.003271000
133143,0.000678000
133151,0.002268000
133153,0.000545000
133178,0.002239000
133185,0.000648000
133196,0.002525000
133200,0.000644000
133226,0.002736000
133227,0.000617000
133232,0.002393000
133235,0.000562000
133238,0.002170000
133239,0.000706000
133245,0.002209000
133247,0.000491000
133927,0.170427000
220945,
220980,0.001202000
220988,0.002422000
220992,0.001717000
220993,
221011,0.002456000
221034,
221037,0.000782000
221103,0.018254000
221109,0.000853000
221122,0.005648000
