frame.number,tcp.analysis.ack_rtt
106,
107,0.000502000
139,
466,0.057476000
1210,
1216,0.000450000
1263,
1700,0.093199000
2196,
2197,0.000446000
2280,
2748,0.082025000
3785,
3794,0.000461000
3947,
4497,0.071415000
5240,
5242,0.000464000
6608,
6661,0.014123000
7031,0.065989000
7216,
7220,0.000449000
7859,
7878,0.007658000
8564,0.168863000
9690,
9692,0.000451000
9757,
10244,0.097164000
10863,
10866,0.000385000
10930,
11466,0.102121000
12245,0.179114000
14995,
14996,0.000770000
15487,0.103379000
16009,
16013,0.000464000
16015,
16361,0.111883000
16838,
16841,0.000450000
17279,
17379,0.013290000
17858,0.114369000
17958,
17964,0.000434000
18019,
18401,0.109822000
18452,0.015335000
18803,0.096830000
19317,
19320,0.000447000
19732,
20199,
20200,0.000456000
20896,
21813,
21818,0.000455000
22482,
23195,
23202,0.000467000
25990,
26563,
26569,0.000419000
27265,
27853,
27859,0.000462000
28230,
28420,
28421,0.000469000
28444,
28801,0.100623000
28838,0.008745000
29141,0.103351000
29521,
29523,0.000441000
29795,
30248,
30249,0.000463000
30281,
30996,0.097861000
31321,
31325,0.000467000
31404,
31439,0.015501000
31834,0.160413000
31836,0.001561000
31840,
31841,
31850,
31960,0.048377000
31981,0.049216000
32114,
32329,
32330,0.000450000
32663,
32970,
32972,0.000465000
33424,
34273,
34282,0.000410000
34973,
35494,
35511,0.000456000
36149,
36805,
36807,0.000466000
37424,
38046,
38047,0.000441000
38547,
39191,
39192,0.000942000
39633,
40250,
40255,0.000453000
40913,
41476,
41494,0.000474000
41996,
42410,
42413,0.000474000
42970,
43511,
43525,0.000450000
44188,
44789,
44793,0.000465000
45322,
45356,0.008576000
46307,0.159614000
46381,0.012267000
47182,0.107264000
47303,
47306,0.000486000
47313,
47400,
47740,0.048447000
47909,
48415,
48418,0.000456000
48930,
49456,
49466,0.000483000
49519,
49960,0.096831000
49999,0.012567000
50420,0.099752000
51000,
51003,0.000483000
51390,
51844,
51845,0.000462000
54224,
55194,0.196249000
55477,
56209,
56211,0.000480000
59950,
61024,0.201177000
64215,
64515,
64526,0.000451000
64886,
65444,
65445,0.000460000
66109,
66618,
66619,0.000438000
67139,
67539,
67541,0.000449000
68000,
68464,
68465,0.000428000
68803,
69120,
69123,0.000426000
69634,
70433,0.196337000
70986,
71011,0.008842000
71091,
71287,0.049296000
71506,
71521,0.013460000
71832,0.098498000
72366,
72370,0.000468000
72602,
72947,
72952,0.000474000
75246,
75247,0.000730000
75351,0.051628000
75858,0.195936000
76132,
76133,0.001361000
76152,
76267,0.048979000
76301,
76495,
76496,0.000465000
76582,
76635,0.010887000
76692,
76910,0.133038000
76911,0.000468000
76944,
77165,0.056620000
77774,
77776,0.000468000
77784,
78311,0.091982000
78607,
78610,0.000426000
78714,
79234,0.079702000
79794,
79800,0.000447000
79865,
80121,0.061450000
80146,
80800,
80803,0.000489000
81686,
81694,0.001975000
82050,0.094173000
82168,
82169,0.000415000
82686,
82727,0.012201000
83039,0.068127000
83548,
83554,0.000485000
83625,
84522,0.104020000
85234,
85237,0.000446000
85253,
85851,0.110012000
87276,0.202457000
87675,
87758,0.008589000
88641,0.087259000
90269,0.193927000
90576,
91490,0.188287000
92165,
92198,0.009302000
92575,0.086826000
92911,
92912,0.000474000
93255,
93309,0.004320000
93711,0.059616000
94391,
94394,0.000420000
94517,
94767,
95323,0.143957000
95324,0.000458000
95370,
95632,0.067458000
95771,
95776,0.000436000
95812,
96311,0.102257000
96809,
96814,0.000456000
96844,
97266,0.091250000
97815,
97816,0.000449000
98689,
98771,0.011345000
99182,0.084708000
99349,
99354,0.000433000
100117,
100157,0.005222000
100676,0.074856000
101161,
101164,0.000435000
101173,
101669,0.093834000
102297,
102299,0.000427000
102321,
102822,0.116857000
103721,0.195630000
106195,
106198,0.000601000
106664,0.111132000
106668,0.000577000
107236,0.111346000
107699,
107704,0.000466000
108149,
108516,
108519,0.000419000
108932,
108994,0.012709000
109803,0.159511000
109895,
109902,0.000465000
109923,
110314,0.095962000
110390,0.013493000
110821,0.114594000
111313,
111314,0.000490000
111843,
112368,
112371,0.000497000
112793,
113373,
113376,0.000426000
114179,
115004,0.198689000
115324,
115960,
115963,0.000436000
116447,
117322,0.200447000
117831,
118238,
118239,0.000500000
118901,
119841,0.193779000
120203,
120786,
120789,0.000437000
121847,
122494,
122495,0.000451000
122796,
123235,
123237,0.000453000
125103,
125527,
125530,0.000481000
125943,
126526,
126535,0.000537000
127208,
127907,
127908,0.000473000
127941,
128335,0.102497000
128400,0.006746000
128764,0.096636000
129089,
129095,0.000480000
129555,
129886,
129890,0.000443000
131041,
131252,
131253,0.000454000
131259,
131336,
131626,0.048747000
131953,
132043,0.009300000
132153,
132473,0.048414000
132961,
133436,
133440,0.000466000
133917,
134443,
134446,0.000434000
134448,
134957,0.119340000
135989,0.189825000
137320,
138650,0.200064000
139473,
140757,0.197615000
140943,
140980,0.004778000
141508,0.091224000
141686,
141690,0.000479000
142212,
142312,0.015138000
142478,
143011,0.128939000
143017,0.000458000
143084,
143421,0.052166000
144119,
144123,0.000457000
144170,
144630,0.072196000
144739,
144742,0.000425000
144765,
145462,0.106513000
146426,
146427,0.000412000
146503,
146782,0.048820000
147362,
147370,0.000478000
148060,
148087,0.006470000
148876,0.121640000
148965,
148967,0.000440000
149554,
149619,0.016214000
150115,0.079856000
150593,
150594,0.000467000
150655,
151006,0.068786000
151687,
151695,0.000501000
151718,
152136,0.090265000
152924,0.190414000
155510,
155548,0.007333000
155971,0.088813000
157334,0.192428000
157730,
158860,0.202449000
159343,
159393,0.008377000
159766,0.071557000
159908,
159909,0.000446000
160431,
160440,0.003388000
160641,
161096,0.140670000
161097,0.000427000
161169,
161478,0.064775000
161912,
161915,0.000477000
161957,
162419,0.067887000
162908,
162913,0.000467000
162937,
163456,0.088742000
164155,
164159,0.000486000
164169,
164501,0.077813000
165275,
165276,0.000417000
168441,
168443,0.001616000
169202,0.110508000
169379,
169386,0.000451000
170148,
170277,0.011728000
171135,0.068231000
172096,
172098,0.000468000
172131,
172778,0.104293000
173473,
173479,0.000454000
173490,
173955,0.094005000
175996,0.202833000
178473,
178475,0.000902000
179022,0.103414000
179591,
179595,0.000458000
180015,
180430,
180431,0.000448000
180473,
180698,0.097329000
180892,
180895,0.000445000
180897,
181170,0.077403000
181222,0.016467000
181457,0.079341000
181772,
181773,0.000464000
182162,
182429,
182430,0.000462000
182662,
183007,
183010,0.000462000
183549,
184688,
184691,0.000457000
185011,
185489,
185490,0.000448000
186625,
187152,0.200114000
242090,
242314,
242317,0.000463000
242531,
243175,
243176,0.000487000
244215,
244484,
244485,0.000426000
244744,
244954,
244955,0.000452000
245284,
245585,
245586,0.000473000
245990,
246433,
246434,0.000437000
246729,
246961,
246963,0.000449000
247216,
247683,
247684,0.000387000
248527,
248912,
248913,0.000439000
249498,
249500,0.002335000
249541,
249635,0.049342000
249770,
250205,
250212,0.000470000
250407,
251085,0.230262000
251235,
251238,0.000460000
251453,
251680,
251681,0.000448000
251824,
252122,0.194907000
254400,
254431,
254434,0.000427000
254991,
255026,0.004982000
255498,0.090790000
255615,
255616,0.000444000
255954,
255991,0.015982000
256072,
256351,0.144089000
256354,0.000445000
256410,
256543,0.051735000
256787,
256788,0.000473000
256799,
256974,0.071900000
257082,
257083,0.000454000
257093,
257465,0.090781000
257923,
257927,0.000440000
258009,
258395,0.079960000
258885,
258894,0.000455000
259698,
259729,0.006070000
259920,0.073911000
260128,
260131,0.000484000
260503,
260508,0.001170000
260544,
260743,0.048384000
260854,
261273,
261277,0.000458000
261368,
261718,0.100594000
262387,0.211904000
262485,
262496,0.003644000
262816,0.092491000
263211,0.188791000
264042,
264047,0.006653000
264206,0.057160000
264785,0.192332000
265064,
265650,0.200699000
265879,
265912,0.007283000
266178,0.072763000
266360,
266364,0.000457000
266494,
266499,0.003019000
266742,0.060752000
267145,
267146,0.000484000
267172,
267361,0.048883000
267667,
267673,0.000456000
267716,
267969,0.084706000
268021,
268022,0.000437000
268034,
268290,0.087178000
268720,
268721,0.000437000
268733,
268960,0.076981000
269331,
269333,0.000438000
270152,
270171,0.008492000
270672,0.151582000
270725,
270732,0.000478000
271144,
271149,0.001331000
271351,0.094368000
271488,
271489,0.000432000
271502,
271701,0.098276000
272060,
272061,0.000482000
272075,
272219,0.104872000
272777,0.192028000
272989,
273041,0.013330000
273096,
273433,0.199872000
273442,0.238790000
275594,
275631,0.009277000
275659,
275850,0.048506000
275958,
276490,0.194142000
277265,
277478,
277480,0.000479000
277715,
277965,
277968,0.000473000
278187,
278249,0.014955000
278250,
278253,
278268,
278443,0.048537000
278516,0.048946000
278682,
279012,
279014,0.000463000
279576,
280384,
280393,0.000460000
280954,
280976,0.008694000
281001,
281457,0.048639000
