frame.number,tcp.analysis.ack_rtt
6,
7,
8,
12,
13,
14,
18,
20,
22,
24,
25,
26,
27,
29,
30,
36,0.007748000
37,
38,
39,
43,0.007489000
58,0.004467000
64,0.004740000
85,0.008440000
95,0.007828000
110,0.011783000
111,0.000593000
112,
113,
115,
116,
117,
118,
119,
120,
121,
122,
140,0.003003000
143,
144,
145,
151,0.005520000
152,
153,
157,0.007612000
158,
160,0.008336000
163,
166,
167,
171,
177,0.013048000
179,0.009955000
181,
182,
183,
184,0.010251000
187,
188,
195,
198,
199,
237,0.014695000
240,
241,
245,0.012594000
251,0.009716000
253,0.010929000
257,0.012330000
265,0.012732000
269,0.007564000
282,0.014651000
283,0.000615000
284,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
351,0.007150000
355,
356,
372,0.008926000
374,
375,
381,0.010129000
382,
385,
387,
397,
399,
406,0.015007000
419,0.016762000
429,0.018252000
437,0.012933000
448,0.012346000
455,0.012323000
457,
458,
459,
460,
461,
463,
464,
483,0.005438000
486,
487,
490,0.006237000
493,
497,0.007084000
501,0.002832000
504,0.003221000
506,
507,0.000620000
508,
509,
510,
511,
512,
513,
514,
574,0.003695000
578,
579,
601,0.004947000
605,
606,
619,
623,0.006500000
639,
640,
641,
651,
659,0.008499000
676,
677,
709,0.008114000
712,
713,
742,0.009340000
747,
748,
752,0.008603000
754,
755,
756,
773,0.009767000
775,0.006363000
776,
777,
779,
780,
785,0.006993000
787,0.006493000
788,
791,0.007312000
794,0.005680000
796,0.006071000
802,0.005614000
805,0.000773000
806,
807,
808,
809,
810,
811,
812,
813,
814,
815,
839,0.003453000
840,
841,
846,0.006255000
848,
849,
852,0.007120000
855,0.007920000
857,
859,0.008603000
860,
861,
862,
863,
864,
865,
874,
877,0.011640000
879,
880,
884,0.008822000
889,
890,
900,0.008623000
903,
904,
911,0.007994000
912,
913,
917,0.008758000
924,
929,0.011131000
940,0.010416000
943,0.010075000
952,0.008713000
958,0.008239000
967,
968,0.000665000
969,
970,
971,
972,
973,
974,
975,
976,
977,
978,
979,
980,
1003,0.004732000
1004,
1005,
1009,0.006375000
1010,
1011,
1017,0.011104000
1020,
1021,
1022,
1027,0.013166000
1028,
1035,
1037,0.018688000
1038,
1039,
1040,
1065,0.021943000
1069,
1070,
1097,0.020602000
1099,
1100,
1101,
1106,0.021195000
1111,0.017781000
1116,0.020276000
1118,0.013406000
1122,0.014208000
1126,0.012290000
1135,0.010651000
1180,0.013342000
1190,0.000706000
1191,
1192,
1193,
1194,
1195,
1197,
1198,
1199,
1200,
1202,
1203,
1204,
1205,
1206,
1307,0.010554000
1310,
1311,
1316,0.012465000
1317,
1318,
1322,0.014700000
1324,
1325,
1326,
1327,
1331,
1333,0.015643000
1335,
1336,
1337,
1342,0.017736000
1343,
1344,
1349,
1353,0.019531000
1354,
1355,
1359,0.020588000
1371,0.012992000
1378,0.011850000
1389,0.011388000
1392,0.011908000
1401,0.016050000
1404,0.014214000
1406,0.012701000
1413,
1414,0.000717000
1415,
1416,
1417,
1418,
1419,
1420,
1421,
1422,
1423,
1424,
1425,
1426,
1427,
1428,
1429,
1430,
1455,0.003465000
1459,
1460,
1465,0.004732000
1466,
1469,0.005538000
1470,
1471,
1475,0.006811000
1478,
1479,
1484,0.008221000
1485,
1490,0.009037000
1493,
1494,
1510,0.011474000
1511,
1512,
1522,0.015897000
1524,0.016709000
1526,0.017518000
1528,
1530,0.015385000
1532,0.017686000
1535,0.017659000
1539,0.017874000
1542,0.018259000
1544,0.016187000
1553,
1555,0.000673000
1556,
1557,
1558,
1559,
1560,
1561,
1562,
1575,0.003115000
1579,0.004464000
1581,0.005757000
1584,0.006340000
1587,0.007096000
1589,0.000963000
1590,
1591,
1592,
1593,
1594,
1595,
1596,
1597,
1598,
1599,
1600,
1601,
1602,
1603,
1604,
1605,
1606,
1610,
1647,0.003595000
1649,
1650,
1654,0.004673000
1655,
1658,0.006080000
1661,
1665,
1667,0.012143000
1670,
1672,0.012812000
1676,0.014098000
1678,0.015446000
1681,
1689,
1694,
1695,
1704,0.019880000
1707,0.016456000
1712,0.016829000
1716,
1717,0.000623000
1718,
1719,
1720,
1721,
1722,
1723,
1724,
1725,
1726,
1751,0.002922000
1754,
1755,
1759,0.004166000
1761,
1764,
1770,0.005996000
1771,
1772,
1775,
1778,
1780,
1781,
1784,0.009066000
1788,0.006997000
1797,0.006939000
1802,0.006428000
1804,
1805,
1806,
1807,
1808,
1809,
1828,0.004957000
1831,0.005181000
1832,
1833,
1834,
1835,
1836,
1848,0.002816000
1849,
1850,
1860,0.006942000
1861,
1864,0.008169000
1866,0.006257000
1871,0.005626000
1872,0.000698000
1873,
1874,
1875,
1876,
1877,
1878,
1887,0.002933000
1888,
1889,
1893,0.005450000
1894,
1895,
1898,0.006294000
1900,
1901,
1905,0.007622000
1906,
1907,
1913,0.005521000
1914,
1915,
1919,0.004931000
1921,
1922,
1931,0.006051000
1932,
1933,
1937,0.005826000
1938,
1939,
1940,
1945,0.005776000
1946,
1947,
1951,0.005168000
1952,
1953,
1954,
1959,0.005641000
1961,0.005391000
1966,0.005446000
1972,0.005431000
1989,0.006614000
1992,
1997,0.000579000
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2035,0.003781000
2040,0.004043000
2041,
2042,
2047,
2048,
2092,0.006807000
2102,
2103,
2105,
2136,0.012245000
2138,
2146,0.013079000
2152,0.009275000
2153,
2155,
2160,0.009313000
2163,
2164,
2168,0.007023000
2169,
2171,
2173,
2174,
2179,0.007898000
2180,
2182,
2183,
2190,0.002753000
2203,0.004113000
2206,0.004514000
2212,0.005425000
2215,0.005903000
2219,0.006895000
2226,
2229,0.000644000
2230,
2231,
2232,
2233,
2234,
2235,
2236,
2237,
2238,
2241,
2242,
2263,0.003072000
2264,
2265,
2266,
2273,0.004273000
2274,
2275,
2283,0.006087000
2284,
2285,
2289,0.007311000
2290,
2291,
2299,0.008545000
2302,
2303,
2305,
2308,0.009355000
2310,
2311,
2325,0.008327000
2327,
2328,
2329,
2337,0.008496000
2340,
2357,0.008739000
2359,0.007788000
2367,0.007929000
2374,0.008363000
2377,0.007254000
2385,0.008664000
2390,0.010875000
2391,0.000640000
2392,
2393,
2394,
2395,
2396,
2397,
2398,
2399,
2400,
2401,
2402,
2403,
2404,
2405,
2422,0.005173000
2424,0.005403000
2426,
2427,
2428,
2429,
2435,0.006474000
2436,
2437,
2441,0.007804000
2442,
2443,
2447,0.009589000
2450,
2451,
2463,0.011540000
2465,
2466,
2471,
2473,0.013633000
2475,
2476,
2477,
2490,0.009833000
2492,0.011475000
2494,0.010688000
2497,0.011273000
2503,0.011151000
2509,0.010374000
2531,0.011742000
2533,
2535,0.000610000
2536,
2537,
2538,
2539,
2540,
2541,
2542,
2543,
2544,
2545,
2546,
2547,
2548,
2549,
2550,
2582,0.003702000
2587,0.005438000
2591,
2592,
2593,
2594,
2595,
2607,0.006787000
2610,
2613,0.007615000
2614,
2615,
2619,0.009613000
2621,
2622,
2623,
2627,0.010704000
2628,
2629,
2633,
2636,0.012772000
2642,
2645,0.014016000
2648,0.015988000
2651,0.011364000
2653,0.012620000
2655,0.012548000
2657,0.012985000
2664,0.012870000
2670,0.013123000
2676,0.013579000
2677,0.000592000
2678,
2679,
2680,
2681,
2682,
2683,
2684,
2685,
2686,
2687,
2688,
2689,
2690,
2691,
2692,
2693,
2694,
2738,0.006070000
2739,
2740,
2751,0.008122000
2752,
2753,
2759,0.009704000
2760,
2763,
2767,
2769,0.012144000
2771,0.012424000
2772,
2773,
2774,
2775,
2776,
2777,
2781,0.013418000
2788,0.015298000
2794,0.016341000
2800,
2805,0.017877000
2808,0.012813000
2811,0.012500000
2813,0.008839000
2823,0.011001000
2825,0.012502000
2840,0.015911000
2846,0.000567000
2847,
2848,
2849,
2850,
2851,
2852,
2853,
2869,0.002915000
2880,0.005790000
2882,
2886,0.007089000
2888,0.007289000
2890,
2891,0.000598000
2892,
2893,
2894,
2895,
2896,
2897,
2898,
2899,
2900,
2901,
2902,
2903,
2904,
2905,
2906,
2907,
2908,
2909,
2911,
2950,0.003726000
2953,
2954,
2960,0.005074000
2964,0.006331000
2971,
2980,0.008335000
2987,
2989,0.009904000
2991,
3011,0.011841000
3023,0.013313000
3025,
3029,0.015652000
3039,0.017383000
3045,0.018212000
3053,0.017639000
3065,0.020238000
3068,0.000585000
3069,
3070,
3071,
3072,
3073,
3074,
3075,
3076,
3077,
3078,
3079,
3080,
3081,
3082,
3083,
3085,
3086,
3087,
3088,
3089,
3138,0.008634000
3140,0.008905000
3142,
3143,
3146,
3147,
3162,0.010554000
3169,
3171,
3177,
3188,
3192,
3201,0.012818000
3212,0.014102000
3216,0.014771000
3225,0.015611000
3227,
3235,
3244,0.018454000
3249,0.019958000
3254,0.011980000
3266,0.013126000
3267,
3278,0.012899000
3279,
3280,
3293,0.003327000
3299,0.006119000
3306,0.000585000
3307,
3308,
3309,
3310,
3311,
3312,
3313,
3314,
3315,
3316,
3340,0.002954000
3345,
3346,
3352,0.004117000
3356,
3357,
3363,0.005581000
3365,
3372,0.006743000
3373,
3374,
3380,0.007905000
3383,
3386,0.010865000
3387,
3388,
3392,0.009610000
3394,0.008651000
3395,
3396,
3397,
3398,
3399,
3409,0.009221000
3410,
3411,
3422,0.010365000
3423,
3471,0.011591000
3501,0.011845000
3504,0.012151000
3521,0.013247000
3535,0.012549000
3556,0.013470000
3559,0.000572000
3560,
3561,
3562,
3563,
3564,
3565,
3566,
3567,
3568,
3569,
3570,
3571,
3626,0.002949000
3635,
3637,
3642,0.004026000
3643,
3644,
3647,
3653,0.005662000
3656,
3657,
3663,0.006865000
3666,
3667,
3678,0.008225000
3682,
3683,
3716,0.013390000
3719,
3720,
3730,0.015113000
3732,
3733,
3754,0.018198000
3756,0.017350000
3758,
3759,
3760,0.015907000
3778,0.017196000
3801,0.017488000
3835,0.013625000
3856,0.013574000
3865,0.007588000
3993,
3997,0.000584000
3998,
4000,
4002,
4003,
4004,
4005,
4007,
4008,
4009,
4010,
4011,
4013,
4014,
4015,
4054,0.003037000
4057,
4061,
4104,0.007054000
4107,
4108,
4119,
4138,0.010540000
4145,
4146,
4154,
4170,0.013258000
4176,
4177,
4181,
4184,
4186,0.017022000
4187,
4188,
4189,
4190,
4196,
4198,0.018482000
4199,
4200,
4204,0.023076000
4206,0.021088000
4212,0.018152000
4218,0.016057000
4233,0.015574000
4243,0.013740000
4250,0.016395000
4259,0.021047000
4276,
4284,0.000563000
4285,
4286,
4287,
4288,
4289,
4290,
4291,
4292,
4293,
4294,
4295,
4296,
4298,
4299,
4300,
4301,
4353,0.003557000
4355,
4356,
4370,0.005353000
4379,
4381,
4388,0.006138000
4398,
4443,0.009630000
4445,
4446,
4451,0.010555000
4452,
4455,0.011389000
4457,
4458,
4465,0.013304000
4467,
4468,
4469,
4471,0.014017000
4479,
4482,
4486,0.018429000
4494,0.017416000
4499,0.017480000
4501,0.014434000
4503,0.014766000
4505,0.015258000
4513,0.014545000
4520,
4521,0.000589000
4522,
4523,
4524,
4525,
4526,
4527,
4528,
4529,
4530,
4531,
4532,
4533,
4534,
4535,
4536,
4537,
4538,
4568,0.003526000
4569,
4570,
4573,0.004280000
4575,
4576,
4580,
4583,
4586,0.006570000
4592,
4593,
4595,
4596,
4620,0.008617000
4624,
4625,
4637,0.010516000
4644,0.010836000
4646,
4656,0.012174000
4661,0.012981000
4665,0.014871000
4667,0.015417000
4670,0.012922000
4698,0.024423000
4700,0.022240000
4702,0.022506000
4704,0.020665000
4711,0.023680000
4712,0.000585000
4713,
4714,
4715,
4716,
4717,
4718,
4719,
4720,
4721,
4722,
4723,
4724,
4725,
4726,
4727,
4728,
4729,
4730,
4731,
4757,0.004491000
4758,
4759,
4814,0.017010000
4816,
4817,
4818,
4824,
4831,0.018018000
4838,
4839,
4840,
4874,
4881,0.024435000
4886,0.024758000
4887,
4888,
4899,0.025559000
4903,0.026783000
4907,0.027358000
4909,0.027712000
4912,
4914,
4918,0.028614000
4921,0.024128000
4925,0.012436000
4927,0.011790000
4929,0.005667000
4939,0.008856000
4940,0.000554000
4941,
4942,
4943,
4944,
4945,
4946,
4947,
4959,0.003402000
4964,0.004585000
4967,
4970,
4972,
4975,0.007877000
4976,
4980,
4983,0.000850000
4984,
4985,
4986,
4987,
4988,
4989,
4990,
4991,
4992,
5005,
5009,0.003333000
5010,
5011,
5012,
5016,0.004184000
5018,
5019,
5025,0.006051000
5028,0.006381000
5029,
5031,
5032,
5035,
5043,
5046,0.008650000
5048,
5049,
5050,
5051,
5057,0.006188000
5065,0.007417000
5071,0.006873000
5077,0.007869000
5086,0.007341000
5097,
5100,0.008824000
5102,
5103,0.000595000
5104,
5105,
5106,
5107,
5108,
5109,
5110,
5111,
5112,
5113,
5114,
5133,0.003044000
5134,
5135,
5139,0.004907000
5146,
5147,
5148,
5151,
5158,
5172,0.008062000
5174,
5175,
5176,
5190,0.010349000
5192,
5193,
5204,
5206,
5209,0.015479000
5210,
5211,
5212,
5226,0.014323000
5228,
5229,
5233,0.013690000
5234,
5235,
5243,0.012444000
5246,0.013141000
5250,0.012098000
5259,0.008725000
5269,0.008672000
5277,0.008616000
5357,0.027674000
5360,0.000620000
5361,
5362,
5363,
5364,
5365,
5366,
5367,
5368,
5369,
5370,
5371,
5372,
5373,
5392,0.002953000
5393,
5394,
5398,0.004116000
5399,
5400,
5401,
5406,0.005373000
5407,
5408,
5415,0.007530000
5416,
5417,
5423,
5426,0.009690000
5427,
5428,
5432,
5434,
5436,
5438,0.014757000
5440,
5450,0.013186000
5460,0.013751000
5462,0.013242000
5464,0.012802000
5466,0.011955000
5469,0.013385000
5471,
5472,
5473,
5474,
5485,0.004426000
5487,0.005580000
5496,
5498,0.000573000
5499,
5500,
5501,
5502,
5504,
5505,
5506,
5529,0.002949000
5530,
5531,
5539,0.004191000
5540,
5543,
5546,
5552,0.006968000
5553,
5554,
5555,
5556,
5558,
5567,0.004880000
5569,
5570,
5579,0.004967000
5582,
5583,
5588,0.003390000
5590,
5591,
5600,0.005501000
5605,
5606,
5616,0.006790000
5618,
5619,
5620,
