sequenceNumber,medianEstRtt,startTime
1,0.016636768,0.191314
2,7.60E-05,0.191567
3,6.80E-05,0.191828
4,0.000106,0.192109
5,7.00E-05,0.192326
6,0.000113,0.192573
7,8.20E-05,2.191235
8,0.011363977,2.191489
9,0.017214635,2.191732
10,7.50E-05,2.192007
11,7.00E-05,2.192241
12,6.80E-05,2.192506
13,0.000101,4.191502
14,7.40E-05,4.191759
15,7.50E-05,4.191991
16,0.011333305,4.192263
17,0.017158109,4.192524
18,7.20E-05,4.192763
19,8.20E-05,6.193105
20,7.40E-05,6.193379
21,6.70E-05,6.193627
22,7.20E-05,6.19387
23,6.60E-05,6.194127
24,0.011434781,6.194406
25,0.016959672,8.192914
26,7.40E-05,8.19316
27,6.90E-05,8.193421
28,7.10E-05,8.193673
29,6.90E-05,8.193915
30,7.10E-05,8.194162
31,9.60E-05,10.192709
32,0.01097825,10.19294
33,0.016529706,10.193221
34,7.00E-05,10.193425
35,6.70E-05,10.193696
36,7.00E-05,10.19394
37,8.80E-05,12.19335
38,7.20E-05,12.193589
39,8.40E-05,12.193869
40,0.011419586,12.194107
41,0.017110094,12.194366
42,7.20E-05,12.194605
43,9.40E-05,14.193165
44,7.60E-05,14.193411
45,6.90E-05,14.193654
46,7.00E-05,14.193941
47,7.00E-05,14.194181
48,0.011299594,14.194416
49,0.016767317,16.194352
50,7.60E-05,16.194571
51,7.00E-05,16.194827
52,7.00E-05,16.195107
53,7.70E-05,16.195371
54,6.90E-05,16.195622
55,9.20E-05,18.193545
56,0.011503422,18.193756
57,0.017295624,18.193998
58,7.20E-05,18.194267
59,6.80E-05,18.194515
60,7.30E-05,18.194754
61,8.70E-05,20.194598
62,5.80E-05,20.194842
63,7.00E-05,20.195108
64,0.011095797,20.195392
65,0.016879408,20.195644
66,4.70E-05,20.195912
67,9.30E-05,22.194174
68,8.00E-05,22.194412
69,7.00E-05,22.194688
70,6.90E-05,22.194916
71,6.70E-05,22.195197
72,0.011355352,22.195436
73,0.016799807,24.195634
74,9.70E-05,24.195917
75,7.20E-05,24.196162
