"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"1183","0.194458","244.3.160.204","244.3.160.239","TCP","23132","443","64","0.000201000","0","0.194458000","Set","Not set","79","23132  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1184","0.194567","244.3.160.239","244.3.160.204","TCP","443","23132","64","0.000109000","0","0.194567000","Set","Set","79","443  >  23132 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"1185","0.194768","244.3.160.204","244.3.160.239","TCP","23133","8080","64","0.000201000","0","0.194768000","Set","Not set","80","23133  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1188","0.194821","244.3.160.239","244.3.160.204","TCP","8080","23133","64","0.000044000","1","0.194821000","Not set","Set","80","8080  >  23133 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1196","0.195025","244.3.160.204","244.3.160.239","TCP","23134","80","64","0.000004000","0","0.195025000","Set","Not set","83","23134  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1207","0.195125","244.3.160.239","244.3.160.204","TCP","80","23134","64","0.000004000","0","0.195125000","Set","Set","83","80  >  23134 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"1708","0.292833","244.3.160.204","244.3.160.239","TCP","23132","443","64","0.001148000","1","0.292833000","Not set","Set","79","23132  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"1710","0.292986","244.3.160.204","244.3.160.239","TCP","23132","443","64","0.000047000","1","0.292986000","Not set","Set","79","23132  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"1711","0.293060","244.3.160.239","244.3.160.204","TCP","443","23132","64","0.000074000","1","0.293060000","Not set","Set","79","443  >  23132 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"1727","0.294539","244.3.160.204","244.3.160.239","TCP","23134","80","64","0.000004000","1","0.294539000","Not set","Set","83","23134  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"1729","0.294645","244.3.160.204","244.3.160.239","TCP","23134","80","64","0.000088000","1","0.294645000","Not set","Set","83","23134  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"1731","0.294735","244.3.160.239","244.3.160.204","TCP","80","23134","64","0.000004000","1","0.294735000","Not set","Set","83","80  >  23134 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"1748","0.296723","244.3.160.239","244.3.160.204","TCP","80","23134","64","0.000132000","1","0.296723000","Not set","Set","83","80  >  23134 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"2142","0.366914","244.3.160.204","244.3.160.239","TCP","23134","80","64","0.000005000","2","0.366914000","Not set","Set","83","23134  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"2213","0.374636","244.3.160.239","244.3.160.204","TCP","443","23132","64","0.000531000","1","0.374636000","Not set","Set","79","443  >  23132 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"2425","0.410391","244.3.160.204","244.3.160.239","TCP","23132","443","64","0.000197000","2","0.410391000","Not set","Set","79","23132  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"12302","2.194365","244.3.160.204","244.3.160.239","TCP","23463","443","64","0.000195000","0","2.194365000","Set","Not set","307","23463  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12303","2.194486","244.3.160.239","244.3.160.204","TCP","443","23463","64","0.000121000","0","2.194486000","Set","Set","307","443  >  23463 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"12304","2.194616","244.3.160.204","244.3.160.239","TCP","23464","8080","64","0.000130000","0","2.194616000","Set","Not set","308","23464  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12305","2.194687","244.3.160.239","244.3.160.204","TCP","8080","23464","64","0.000071000","1","2.194687000","Not set","Set","308","8080  >  23464 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12306","2.194910","244.3.160.204","244.3.160.239","TCP","23465","80","64","0.000223000","0","2.194910000","Set","Not set","309","23465  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12308","2.194991","244.3.160.239","244.3.160.204","TCP","80","23465","64","0.000077000","0","2.194991000","Set","Set","309","80  >  23465 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"12739","2.297381","244.3.160.204","244.3.160.239","TCP","23463","443","64","0.000123000","1","2.297381000","Not set","Set","307","23463  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"12740","2.297515","244.3.160.204","244.3.160.239","TCP","23463","443","64","0.000134000","1","2.297515000","Not set","Set","307","23463  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
