src,dest,connectionCount
244.3.153.30,244.3.176.224,1
68.157.168.194,41.177.26.91,14
117.246.95.43,244.3.160.239,158
41.177.3.224,41.177.117.184,64
241.82.197.204,244.3.210.197,4
41.177.143.72,41.177.3.224,6
77.197.128.31,41.177.26.176,20
77.197.210.181,41.177.26.176,19
41.177.241.46,41.106.176.15,12
244.3.153.55,244.3.176.118,1
77.197.210.67,41.177.26.176,35
16.176.93.164,244.3.160.239,78
41.177.26.15,77.197.128.106,4
242.77.209.197,244.3.210.197,2
244.3.160.239,244.3.155.77,153
128.71.90.164,244.3.160.239,91
77.197.210.186,41.177.26.176,25
244.3.160.80,244.3.153.25,11
41.177.241.46,244.3.39.224,1
85.241.98.37,244.3.160.239,49
77.197.210.123,41.177.26.176,30
41.177.98.127,194.224.157.64,2
244.3.160.239,41.177.223.45,73
41.177.98.127,122.244.155.71,2
41.177.143.106,41.177.3.224,6
41.177.26.176,141.231.176.176,1
41.177.224.111,244.3.41.84,1
41.177.98.127,244.41.38.43,1
244.3.93.224,41.177.98.220,1
244.3.160.204,244.3.160.89,708
244.3.160.204,244.3.160.254,708
244.3.160.204,244.3.160.239,354
176.41.89.121,244.3.160.239,5
244.3.160.239,41.177.40.117,6
151.77.135.33,41.177.98.176,13
186.45.149.67,41.177.98.143,1
41.177.98.176,18.181.151.91,8
41.177.26.176,77.197.210.198,39
41.177.31.94,244.3.47.39,1
244.3.41.84,244.3.31.67,8
41.177.26.176,77.197.210.128,35
41.177.241.108,244.3.93.198,1
15.186.110.142,41.177.26.176,70
41.177.26.176,77.197.210.160,5
244.3.153.34,244.3.31.117,6
41.177.98.176,41.177.194.186,2
244.3.160.239,244.3.181.123,163
40.138.160.255,244.3.160.239,19
68.67.164.34,244.3.210.197,8
41.177.244.177,244.3.210.254,3
41.177.244.185,244.3.210.254,1
68.157.168.111,41.177.26.176,3
244.3.153.13,41.177.202.249,2
41.177.26.176,77.197.210.122,25
244.3.185.64,41.177.98.220,1
41.177.241.254,244.3.93.198,1
41.177.98.43,41.177.26.155,32
41.177.98.127,254.210.244.164,3
176.41.89.210,244.3.160.239,1
244.3.160.239,68.33.164.161,1
41.177.26.176,68.157.168.13,4
41.177.244.90,244.3.210.254,1
244.3.41.84,41.177.93.176,1
244.3.160.239,198.123.241.156,60
41.177.241.61,244.3.41.84,3
244.3.220.84,41.177.98.220,1
244.3.79.141,244.3.160.239,3
244.3.160.239,82.242.98.77,3
41.177.211.151,41.177.98.220,1
41.177.93.210,244.3.41.84,1
41.177.26.15,68.157.168.224,24
41.177.3.203,41.177.230.224,2
41.177.3.224,41.177.230.224,2
41.177.26.193,244.3.160.248,123
41.177.3.203,41.177.230.68,1
41.177.26.176,77.197.210.48,26
77.197.128.94,41.177.26.176,8
244.3.210.230,253.23.23.108,13
15.128.184.13,41.177.26.176,4
244.3.160.248,41.177.26.55,93
145.95.67.26,41.177.98.176,6
68.33.110.176,244.3.160.239,89
244.3.160.239,244.3.31.75,226
41.177.241.46,41.106.180.77,6
244.3.153.177,41.177.117.203,1
68.157.168.139,41.177.26.176,7
95.197.89.124,41.177.98.176,1
68.157.168.209,41.177.26.176,6
244.3.210.197,41.177.244.188,2
68.157.168.82,244.3.210.197,8
41.177.241.46,244.3.64.188,1
244.3.153.197,41.177.24.241,2
46.100.160.135,244.3.61.18,1
254.204.205.197,41.177.98.176,7
244.3.153.25,41.177.24.241,2
15.186.110.41,244.3.210.197,10
18.185.55.142,244.3.31.168,1
41.108.167.85,244.3.210.197,2
67.122.211.41,244.3.153.255,1
41.177.98.143,244.110.40.40,1
41.177.98.98,244.3.31.94,1
47.167.26.197,244.3.41.84,1
244.3.77.218,244.3.160.239,12
244.3.160.248,41.177.98.71,5
244.3.31.117,41.177.98.220,4
15.186.110.132,41.177.26.91,36
90.218.72.197,244.3.160.239,12
68.157.168.160,41.177.26.176,4
244.3.160.239,48.151.224.205,17
41.177.241.46,151.77.15.90,1
68.157.168.41,244.3.160.239,2
118.16.167.139,244.3.210.197,2
68.157.168.38,41.177.26.91,18
41.177.3.203,41.177.3.224,3
244.3.142.22,41.177.98.220,1
244.3.79.121,41.177.98.220,1
77.197.106.128,41.177.26.91,1
253.37.253.43,253.180.108.127,2
15.225.3.77,244.3.210.197,2
244.3.210.197,68.188.168.202,4
40.193.255.164,244.3.210.197,1
244.3.160.239,41.177.176.156,83
244.3.64.176,41.177.26.214,1
241.141.156.123,244.3.210.197,1
253.37.253.43,253.98.108.71,1
244.3.79.4,41.177.98.220,1
203.22.116.24,244.3.41.84,1
68.157.168.253,41.177.26.176,9
244.3.139.251,244.3.31.244,115
41.177.241.46,77.139.113.224,2
244.3.210.230,68.83.160.23,6
244.3.153.77,41.177.24.108,1
120.111.16.47,244.3.61.225,1
215.43.45.145,41.177.26.176,5
244.3.79.176,41.177.98.220,2
244.3.41.84,41.177.93.203,1
41.177.241.46,151.77.15.152,1
41.177.98.176,244.3.180.219,2
41.177.3.224,244.3.34.165,1
41.177.211.160,41.177.98.220,1
244.3.41.84,41.177.71.18,1
242.161.82.241,244.3.210.197,21
41.177.168.251,41.177.98.220,1
204.22.67.156,41.177.26.176,1
244.3.153.13,41.177.24.241,1
41.177.244.177,244.3.210.90,1
41.177.244.142,244.3.210.90,1
41.177.26.176,177.149.224.75,3
41.177.26.176,252.77.177.67,7
41.177.26.176,165.160.217.193,1
71.138.110.40,244.3.210.197,2
41.177.241.46,90.48.117.203,1
90.38.138.255,244.3.160.239,10
142.197.48.208,41.177.98.127,4
41.177.26.15,177.149.224.75,2
41.177.98.176,41.177.66.219,2
106.217.244.253,41.177.26.176,27
244.3.247.116,244.3.41.84,1
253.37.253.43,253.201.253.26,1
244.3.48.41,244.3.160.239,3
244.3.160.239,43.106.84.108,3
41.177.241.46,151.77.15.40,1
41.177.31.98,244.3.153.142,1
151.41.242.13,41.177.98.127,3
208.51.205.98,41.177.26.176,5
41.177.3.203,244.3.31.68,4
61.194.168.142,41.177.26.176,1
41.177.4.139,244.3.41.84,10
244.3.141.84,244.3.41.84,2
244.3.41.84,244.3.31.84,2
244.3.124.145,244.3.153.142,1
244.3.41.84,41.177.93.64,1
68.157.168.121,41.177.26.176,5
244.3.124.153,244.3.153.142,1
68.157.168.254,244.3.210.197,5
244.3.160.239,90.210.201.231,7
15.71.149.241,41.177.26.15,6
41.177.241.46,244.3.77.239,1
168.223.67.89,244.3.210.197,13
151.77.192.83,244.3.160.239,22
77.161.130.31,41.177.98.127,2
41.177.3.145,244.3.153.197,5
244.3.90.4,41.177.98.92,3
186.181.210.108,41.177.98.176,1
77.197.128.251,41.177.26.176,39
41.177.13.249,244.3.41.84,1
244.3.160.239,244.3.31.108,53
77.197.128.167,41.177.26.176,29
41.177.168.68,41.177.98.220,1
244.3.79.224,41.177.98.220,2
67.122.211.41,244.3.47.102,1
244.3.185.188,41.177.98.220,1
77.197.217.224,41.177.26.176,52
67.122.211.41,244.3.47.181,1
244.3.84.23,244.3.210.197,2
244.3.210.255,68.83.160.23,8
83.155.208.75,41.177.26.46,2
41.177.24.241,244.3.153.111,2
68.83.168.127,244.3.210.197,2
253.37.253.43,253.116.23.22,2
244.150.152.117,41.177.26.176,1
67.122.211.41,244.3.47.242,1
41.177.24.241,244.3.153.67,1
77.197.128.139,41.177.26.176,40
77.197.128.12,41.177.26.176,27
41.177.26.91,203.68.117.241,2
77.197.217.20,41.177.26.176,55
208.51.205.98,41.177.26.15,4
77.197.210.202,41.177.26.15,1
244.3.153.156,41.177.202.0,1
244.3.153.156,41.177.202.249,1
244.3.41.84,41.177.93.84,2
77.197.210.231,41.177.26.91,6
244.3.41.84,244.3.3.72,1
244.3.185.141,41.177.98.220,1
77.197.210.108,41.177.26.15,4
77.197.128.176,41.177.26.176,18
77.197.210.123,41.177.26.15,2
244.3.210.254,41.177.244.220,1
41.177.241.46,151.77.15.210,1
77.197.210.123,41.177.26.91,1
244.3.34.194,244.3.160.254,1
244.3.79.181,41.177.98.220,2
77.197.210.247,41.177.26.91,1
67.122.211.41,244.3.47.210,1
244.3.160.239,244.3.241.204,4
67.122.211.41,244.3.47.17,1
67.122.211.41,244.3.47.113,1
67.122.211.41,244.3.47.93,1
77.197.210.81,41.177.26.15,2
67.122.211.41,244.3.47.199,1
67.122.211.41,244.3.47.57,1
67.122.211.41,244.3.47.45,1
41.177.117.153,244.3.41.84,1
68.157.168.23,41.177.26.176,4
77.197.210.198,41.177.26.15,3
77.197.217.20,41.177.26.91,1
77.197.210.108,41.177.26.91,1
77.197.210.56,41.177.26.15,1
77.197.128.127,41.177.26.176,11
77.197.210.186,41.177.26.46,1
253.37.253.43,253.160.251.85,14
41.177.241.46,151.77.15.248,1
41.177.241.46,151.77.15.128,3
41.177.241.46,151.77.15.118,1
254.157.30.67,244.3.210.197,2
244.3.210.254,41.177.244.128,1
244.3.41.84,41.177.13.164,1
68.157.168.164,41.177.26.176,3
244.3.160.239,85.224.40.142,18
244.3.153.77,244.3.176.224,1
77.197.210.181,41.177.26.15,7
244.3.210.254,41.177.244.142,2
244.3.153.108,244.3.176.224,1
244.3.185.209,41.177.98.220,3
41.177.26.15,117.98.57.20,1
244.3.90.209,41.177.98.197,1
41.177.26.176,117.98.57.20,1
106.37.181.3,244.3.210.197,3
41.177.241.46,151.77.15.13,1
77.197.210.181,41.177.26.91,1
244.3.160.239,41.43.180.128,64
168.67.39.121,244.3.210.197,1
145.95.168.155,41.177.98.176,3
244.3.41.84,41.177.93.251,1
41.177.26.176,198.208.198.164,4
244.3.210.254,41.177.244.141,1
244.3.153.56,41.177.24.241,1
244.3.47.145,41.177.98.121,3
244.3.56.90,244.3.160.239,10
244.3.160.239,177.124.75.164,109
41.177.181.91,244.3.41.84,1
68.157.168.51,41.177.26.176,8
244.3.210.197,90.199.135.132,6
244.3.210.197,41.177.244.197,3
41.177.75.18,41.177.98.176,1
244.3.41.84,41.177.181.165,1
15.128.184.13,41.177.26.46,4
253.37.253.31,253.160.108.83,2
244.3.3.185,244.3.210.254,1
244.3.185.203,41.177.98.220,1
244.3.79.218,41.177.98.220,1
244.145.124.223,244.3.31.124,1
244.3.160.254,41.177.230.41,1
244.3.153.41,41.177.24.241,1
253.160.239.39,253.37.253.167,2
244.239.193.77,41.177.98.143,1
244.3.41.84,244.3.111.39,1
41.177.241.46,151.77.15.155,1
41.177.98.98,244.3.31.33,2
168.91.64.164,244.3.210.255,7
168.91.64.164,244.3.210.230,6
41.177.199.31,41.177.98.220,1
253.37.253.43,253.160.251.79,18
244.3.213.252,244.3.160.239,6
244.3.160.239,94.2.202.203,11
194.143.194.43,41.177.98.143,1
41.177.93.67,244.3.41.84,1
77.197.128.135,41.177.26.176,1
253.244.77.47,253.23.23.108,4
77.197.128.254,41.177.26.176,2
244.3.160.239,254.204.39.13,1
194.66.204.47,244.3.41.84,1
41.177.98.143,186.198.89.242,1
244.3.160.239,94.2.202.197,4
244.3.153.89,244.3.176.224,1
244.3.185.214,41.177.98.220,1
77.197.128.204,41.177.26.176,2
244.3.153.34,41.177.3.145,5
41.177.24.241,244.3.153.156,1
253.37.253.254,253.37.253.31,1
225.79.120.111,244.3.210.197,15
41.177.230.40,244.3.153.48,1
244.3.153.117,41.177.24.241,3
244.3.79.141,41.177.98.176,2
168.91.64.164,244.3.210.197,3
145.67.150.3,244.3.160.239,3
68.157.168.192,41.177.26.176,6
254.40.82.123,244.3.210.197,2
244.3.41.252,41.177.46.176,1
244.3.210.197,219.22.0.211,3
41.177.98.252,244.3.160.239,21
41.177.244.124,244.3.210.254,1
244.3.210.254,41.177.244.38,1
244.3.153.55,41.177.24.247,1
215.67.202.111,244.3.61.68,1
168.91.64.164,244.3.210.98,3
244.3.160.248,41.177.26.72,6
41.177.26.214,15.251.180.105,6
41.177.176.198,41.177.98.176,4
198.222.241.108,41.177.98.127,3
41.177.26.214,244.3.160.186,6
15.205.242.71,244.3.210.197,4
244.3.153.0,41.177.24.241,21
244.3.153.111,41.177.3.117,1
41.177.124.47,244.3.160.239,31
244.3.213.210,244.3.160.239,14
244.3.160.239,197.154.128.197,69
244.3.199.218,41.177.98.176,5
244.3.160.239,41.177.168.181,33
244.3.210.197,154.108.181.150,1
244.3.153.34,41.177.24.241,5
244.3.185.201,41.177.98.220,1
41.177.110.39,41.177.98.220,1
193.71.15.176,41.177.26.176,2
253.37.253.43,253.127.160.213,2
244.3.153.177,41.177.3.117,1
85.186.116.57,41.177.98.176,1
244.3.79.176,41.177.98.167,2
77.197.13.176,41.177.26.176,1
244.3.79.202,41.177.98.220,1
244.3.153.209,244.3.176.224,1
253.37.253.43,253.127.160.2,1
41.116.229.239,244.3.160.239,15
244.3.160.239,188.68.72.71,58
68.157.15.122,41.177.26.46,4
244.3.153.48,244.3.176.224,1
244.3.153.48,41.177.3.117,1
244.3.210.255,68.83.39.67,3
68.157.168.106,41.177.26.176,5
244.3.41.84,41.177.56.222,1
145.95.48.20,244.3.31.46,5
244.3.153.67,41.177.202.249,1
16.45.55.23,41.177.98.176,1
68.224.16.165,41.177.26.15,3
244.3.153.48,41.177.24.241,1
145.67.149.81,41.177.98.176,20
46.142.20.230,41.177.98.127,3
244.3.153.142,244.3.176.68,1
244.3.153.142,41.177.46.23,1
244.3.210.197,15.111.142.246,5
244.3.160.239,188.68.161.253,1
241.157.67.72,41.177.98.156,3
244.3.153.106,41.177.24.241,1
244.3.160.239,188.68.194.244,1
244.3.160.239,188.68.194.102,1
244.3.160.239,188.68.161.141,1
41.177.26.151,66.55.75.213,2
241.82.197.177,41.177.26.176,3
242.22.218.106,244.3.61.118,1
89.161.209.108,244.3.210.197,2
40.193.210.13,244.3.210.197,3
15.71.149.82,41.177.26.91,3
89.160.185.98,244.3.210.197,6
244.3.176.149,41.177.3.224,7
215.43.45.145,41.177.26.15,3
244.3.153.0,41.177.3.117,1
41.177.239.219,244.3.41.84,1
244.3.203.37,244.3.41.84,1
41.177.43.16,244.3.41.84,1
244.3.153.197,41.177.4.31,1
244.3.153.142,41.177.24.241,2
41.177.75.223,41.177.98.220,1
41.177.132.22,244.3.41.84,1
244.3.224.4,244.3.41.84,1
244.3.77.235,244.3.41.84,1
244.3.144.142,244.3.41.84,1
244.3.39.95,244.3.41.84,1
41.177.37.57,244.3.41.84,1
